CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	7	17	29.17	24
2	3	18	14.29	21
3	5	11	31.25	16
4	0	15	0.00	15
5	1	9	10.00	10
6	0	12	0.00	12
7	0	11	0.00	11
8	1	14	6.67	15
9	2	9	18.18	11
10	1	10	9.09	11
11	2	7	22.22	9
12	0	5	0.00	5
13	0	7	0.00	7
14	1	2	33.33	3
15	0	10	0.00	10
16	0	4	0.00	4
17	1	9	10.00	10
18	0	8	0.00	8
19	0	7	0.00	7
20	0	3	0.00	3
21	0	1	0.00	1
22	0	2	0.00	2
23	0	4	0.00	4
24	0	3	0.00	3
25	0	1	0.00	1
26	0	7	0.00	7
27	0	5	0.00	5
28	0	4	0.00	4
29	0	3	0.00	3
30	0	2	0.00	2
31	0	0		0
32	0	1	0.00	1
33	0	2	0.00	2
34	0	2	0.00	2
35	0	3	0.00	3
36	0	2	0.00	2
37	1	2	33.33	3
38	0	2	0.00	2
39	0	1	0.00	1
40	0	0		0
41	0	3	0.00	3
42	0	2	0.00	2
43	0	1	0.00	1
44	0	2	0.00	2
45	0	4	0.00	4
46	1	1	50.00	2
47	0	5	0.00	5
48	0	1	0.00	1
49	0	0		0
50	0	3	0.00	3
51	0	3	0.00	3
52	0	2	0.00	2
53	0	1	0.00	1
54	0	1	0.00	1
55	0	3	0.00	3
56	0	2	0.00	2
57	0	0		0
58	0	1	0.00	1
59	0	3	0.00	3
60	0	0		0
61	0	0		0
62	0	2	0.00	2
63	0	0		0
64	0	1	0.00	1
65	0	0		0
66	0	1	0.00	1
67	0	1	0.00	1
68	0	0		0
69	0	0		0
70	0	0		0
71	0	0		0
72	0	0		0
73	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	6	25	19.35	31
2	7	19	26.92	26
3	4	25	13.79	29
4	5	23	17.86	28
5	1	27	3.57	28
6	0	21	0.00	21
7	1	17	5.56	18
8	4	15	21.05	19
9	0	8	0.00	8
10	0	7	0.00	7
11	0	10	0.00	10
12	0	6	0.00	6
13	2	10	16.67	12
14	0	13	0.00	13
15	0	9	0.00	9
16	0	12	0.00	12
17	0	6	0.00	6
18	0	6	0.00	6
19	0	7	0.00	7
20	0	11	0.00	11
21	1	9	10.00	10
22	0	6	0.00	6
23	0	5	0.00	5
24	0	9	0.00	9
25	0	5	0.00	5
26	0	13	0.00	13
27	0	5	0.00	5
28	0	4	0.00	4
29	0	7	0.00	7
30	0	9	0.00	9
31	0	10	0.00	10
32	0	6	0.00	6
33	0	1	0.00	1
34	0	3	0.00	3
35	0	3	0.00	3
36	0	3	0.00	3
37	0	1	0.00	1
38	0	5	0.00	5
39	0	2	0.00	2
40	0	4	0.00	4
41	0	5	0.00	5
42	0	3	0.00	3
43	0	4	0.00	4
44	0	3	0.00	3
45	0	3	0.00	3
46	0	6	0.00	6
47	0	1	0.00	1
48	0	4	0.00	4
49	0	1	0.00	1
50	0	6	0.00	6
51	0	1	0.00	1
52	0	3	0.00	3
53	0	1	0.00	1
54	0	2	0.00	2
55	0	3	0.00	3
56	0	1	0.00	1
57	0	4	0.00	4
58	0	4	0.00	4
59	0	2	0.00	2
60	0	1	0.00	1
61	0	1	0.00	1
62	0	1	0.00	1
63	0	3	0.00	3
64	0	1	0.00	1
65	0	1	0.00	1
66	0	0		0
67	0	0		0
68	0	1	0.00	1
69	0	0		0
70	0	0		0
71	0	0		0
72	0	0		0
73	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	67	91	42.41	158
2	57	102	35.85	159
3	39	119	24.68	158
4	65	109	37.36	174
5	56	97	36.60	153
6	44	94	31.88	138
7	65	84	43.62	149
8	43	71	37.72	114
9	40	49	44.94	89
10	34	64	34.69	98
11	37	50	42.53	87
12	31	41	43.06	72
13	26	23	53.06	49
14	17	17	50.00	34
15	10	30	25.00	40
16	11	20	35.48	31
17	10	15	40.00	25
18	5	15	25.00	20
19	6	30	16.67	36
20	1	24	4.00	25
21	2	13	13.33	15
22	2	16	11.11	18
23	0	13	0.00	13
24	0	14	0.00	14
25	0	15	0.00	15
26	1	19	5.00	20
27	0	11	0.00	11
28	1	15	6.25	16
29	1	18	5.26	19
30	0	10	0.00	10
31	0	12	0.00	12
32	0	13	0.00	13
33	0	18	0.00	18
34	0	20	0.00	20
35	0	10	0.00	10
36	0	11	0.00	11
37	0	7	0.00	7
38	0	10	0.00	10
39	0	12	0.00	12
40	1	10	9.09	11
41	0	12	0.00	12
42	0	10	0.00	10
43	0	8	0.00	8
44	0	11	0.00	11
45	0	5	0.00	5
46	0	7	0.00	7
47	0	7	0.00	7
48	0	7	0.00	7
49	0	8	0.00	8
50	0	4	0.00	4
51	0	2	0.00	2
52	0	5	0.00	5
53	0	4	0.00	4
54	0	6	0.00	6
55	0	6	0.00	6
56	0	8	0.00	8
57	0	4	0.00	4
58	0	3	0.00	3
59	0	5	0.00	5
60	0	7	0.00	7
61	0	5	0.00	5
62	0	2	0.00	2
63	0	2	0.00	2
64	0	5	0.00	5
65	0	1	0.00	1
66	0	6	0.00	6
67	0	1	0.00	1
68	0	1	0.00	1
69	0	1	0.00	1
70	0	1	0.00	1
71	0	1	0.00	1
72	0	0		0
73	0	1	0.00	1

