CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1	29	3.33	30
2	2	40	4.76	42
3	3	60	4.76	63
4	1	53	1.85	54
5	1	57	1.72	58
6	0	48	0.00	48
7	3	42	6.67	45
8	0	30	0.00	30
9	3	16	15.79	19
10	0	13	0.00	13
11	0	3	0.00	3
12	0	1	0.00	1
13	0	2	0.00	2
14	0	0		0
15	0	0		0
16	0	0		0
17	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2	19	9.52	21
2	4	25	13.79	29
3	2	30	6.25	32
4	4	31	11.43	35
5	3	29	9.38	32
6	1	34	2.86	35
7	0	21	0.00	21
8	1	11	8.33	12
9	0	18	0.00	18
10	1	6	14.29	7
11	0	2	0.00	2
12	0	1	0.00	1
13	0	1	0.00	1
14	0	1	0.00	1
15	0	0		0
16	0	0		0
17	0	1	0.00	1

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	6	49	10.91	55
2	8	43	15.69	51
3	6	34	15.00	40
4	5	30	14.29	35
5	2	40	4.76	42
6	2	28	6.67	30
7	6	28	17.65	34
8	4	12	25.00	16
9	2	10	16.67	12
10	4	6	40.00	10
11	1	11	8.33	12
12	3	5	37.50	8
13	0	3	0.00	3
14	1	1	50.00	2
15	0	0		0
16	0	0		0
17	0	0		0

