CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	58	23	71.60	81
2	3	10	23.08	13
3	6	8	42.86	14
4	6	11	35.29	17
5	8	7	53.33	15
6	5	11	31.25	16
7	4	11	26.67	15
8	4	8	33.33	12
9	6	4	60.00	10
10	7	6	53.85	13
11	3	1	75.00	4
12	5	2	71.43	7
13	4	2	66.67	6
14	4	2	66.67	6
15	3	1	75.00	4
16	2	1	66.67	3
17	1	1	50.00	2
18	3	2	60.00	5
19	1	0	100.00	1
20	1	0	100.00	1
21	0	0		0
22	2	0	100.00	2
23	0	0		0
24	0	0		0
25	1	0	100.00	1
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	51	18	73.91	69
2	58	40	59.18	98
3	3	11	21.43	14
4	7	7	50.00	14
5	6	12	33.33	18
6	16	11	59.26	27
7	7	7	50.00	14
8	12	6	66.67	18
9	7	6	53.85	13
10	11	4	73.33	15
11	12	3	80.00	15
12	14	2	87.50	16
13	17	2	89.47	19
14	9	3	75.00	12
15	8	0	100.00	8
16	5	2	71.43	7
17	5	3	62.50	8
18	2	1	66.67	3
19	7	2	77.78	9
20	4	1	80.00	5
21	2	1	66.67	3
22	0	0		0
23	1	0	100.00	1
24	1	0	100.00	1
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	646	237	73.16	883
2	585	260	69.23	845
3	625	339	64.83	964
4	657	325	66.90	982
5	654	342	65.66	996
6	585	297	66.33	882
7	642	278	69.78	920
8	583	248	70.16	831
9	482	246	66.21	728
10	450	259	63.47	709
11	426	184	69.84	610
12	381	167	69.53	548
13	371	118	75.87	489
14	288	147	66.21	435
15	210	89	70.23	299
16	187	88	68.00	275
17	145	68	68.08	213
18	103	76	57.54	179
19	121	60	66.85	181
20	72	34	67.92	106
21	58	14	80.56	72
22	36	15	70.59	51
23	16	9	64.00	25
24	3	3	50.00	6
25	8	5	61.54	13
26	6	2	75.00	8
27	4	5	44.44	9
28	2	0	100.00	2
29	2	1	66.67	3
30	1	0	100.00	1

