CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2	24	7.69	26
2	0	27	0.00	27
3	1	42	2.33	43
4	1	40	2.44	41
5	0	31	0.00	31
6	1	28	3.45	29
7	2	29	6.45	31
8	1	21	4.55	22
9	1	10	9.09	11
10	0	12	0.00	12
11	1	4	20.00	5
12	0	4	0.00	4
13	0	0		0
14	0	2	0.00	2
15	0	1	0.00	1
16	0	0		0
17	0	0		0
18	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1	13	7.14	14
2	2	13	13.33	15
3	2	31	6.06	33
4	1	26	3.70	27
5	2	29	6.45	31
6	1	9	10.00	10
7	1	13	7.14	14
8	1	10	9.09	11
9	0	14	0.00	14
10	0	9	0.00	9
11	1	3	25.00	4
12	0	2	0.00	2
13	0	2	0.00	2
14	0	0		0
15	0	0		0
16	0	0		0
17	0	0		0
18	0	1	0.00	1

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	7	32	17.95	39
2	6	20	23.08	26
3	8	28	22.22	36
4	3	24	11.11	27
5	8	29	21.62	37
6	6	30	16.67	36
7	4	22	15.38	26
8	1	17	5.56	18
9	1	9	10.00	10
10	0	11	0.00	11
11	0	9	0.00	9
12	0	5	0.00	5
13	0	1	0.00	1
14	0	0		0
15	0	0		0
16	0	0		0
17	0	0		0
18	0	0		0

