CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	31	15	67.39	46
2	2	7	22.22	9
3	0	13	0.00	13
4	6	6	50.00	12
5	7	5	58.33	12
6	3	8	27.27	11
7	1	3	25.00	4
8	4	3	57.14	7
9	5	4	55.56	9
10	3	3	50.00	6
11	3	1	75.00	4
12	6	4	60.00	10
13	4	0	100.00	4
14	2	3	40.00	5
15	2	2	50.00	4
16	3	1	75.00	4
17	2	2	50.00	4
18	2	0	100.00	2
19	3	0	100.00	3
20	1	0	100.00	1
21	0	0		0
22	3	0	100.00	3
23	0	0		0
24	0	0		0
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	39	15	72.22	54
2	40	20	66.67	60
3	4	3	57.14	7
4	10	9	52.63	19
5	6	7	46.15	13
6	13	5	72.22	18
7	9	5	64.29	14
8	10	1	90.91	11
9	8	4	66.67	12
10	4	3	57.14	7
11	9	6	60.00	15
12	5	2	71.43	7
13	7	0	100.00	7
14	12	1	92.31	13
15	2	1	66.67	3
16	6	2	75.00	8
17	6	1	85.71	7
18	0	1	0.00	1
19	2	0	100.00	2
20	1	1	50.00	2
21	1	1	50.00	2
22	0	0		0
23	0	0		0
24	0	0		0
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	488	161	75.19	649
2	473	165	74.14	638
3	441	233	65.43	674
4	492	221	69.00	713
5	468	202	69.85	670
6	410	170	70.69	580
7	397	190	67.63	587
8	435	154	73.85	589
9	387	178	68.50	565
10	320	155	67.37	475
11	348	103	77.16	451
12	269	129	67.59	398
13	237	90	72.48	327
14	223	84	72.64	307
15	140	70	66.67	210
16	141	51	73.44	192
17	116	52	69.05	168
18	80	45	64.00	125
19	74	43	63.25	117
20	49	20	71.01	69
21	28	17	62.22	45
22	22	11	66.67	33
23	10	8	55.56	18
24	2	2	50.00	4
25	3	0	100.00	3
26	2	1	66.67	3
27	2	0	100.00	2
28	2	1	66.67	3
29	3	0	100.00	3
30	4	0	100.00	4

