CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	62	122	33.70	184
2	45	165	21.43	210
3	36	102	26.09	138
4	63	152	29.30	215
5	32	111	22.38	143
6	30	82	26.79	112
7	29	84	25.66	113
8	11	56	16.42	67
9	24	58	29.27	82
10	14	49	22.22	63
11	12	47	20.34	59
12	11	35	23.91	46
13	1	31	3.12	32
14	5	29	14.71	34
15	2	24	7.69	26
16	1	20	4.76	21
17	2	23	8.00	25
18	1	26	3.70	27
19	3	35	7.89	38
20	1	15	6.25	16
21	0	26	0.00	26
22	6	15	28.57	21
23	1	16	5.88	17
24	0	10	0.00	10
25	5	22	18.52	27
26	4	22	15.38	26
27	0	15	0.00	15
28	1	25	3.85	26
29	3	14	17.65	17
30	1	19	5.00	20
31	0	16	0.00	16
32	0	13	0.00	13
33	1	15	6.25	16
34	0	10	0.00	10
35	0	14	0.00	14
36	3	14	17.65	17
37	0	12	0.00	12
38	1	7	12.50	8
39	3	8	27.27	11
40	1	11	8.33	12
41	0	16	0.00	16
42	1	5	16.67	6
43	0	4	0.00	4
44	0	11	0.00	11
45	0	4	0.00	4
46	0	6	0.00	6
47	4	10	28.57	14
48	0	16	0.00	16
49	0	17	0.00	17
50	0	8	0.00	8
51	0	8	0.00	8
52	0	5	0.00	5
53	0	10	0.00	10
54	0	6	0.00	6
55	0	11	0.00	11
56	0	2	0.00	2
57	0	7	0.00	7
58	0	7	0.00	7
59	0	2	0.00	2
60	0	2	0.00	2
61	0	2	0.00	2
62	0	3	0.00	3
63	0	2	0.00	2
64	0	8	0.00	8
65	0	1	0.00	1
66	0	2	0.00	2
67	0	2	0.00	2
68	0	2	0.00	2
69	0	2	0.00	2
70	0	1	0.00	1
71	0	1	0.00	1
72	0	0		0
73	0	0		0
74	0	0		0
75	0	1	0.00	1
76	0	0		0
77	0	1	0.00	1

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	100	155	39.22	255
2	60	229	20.76	289
3	97	291	25.00	388
4	42	186	18.42	228
5	56	187	23.05	243
6	48	172	21.82	220
7	25	119	17.36	144
8	38	119	24.20	157
9	29	116	20.00	145
10	26	94	21.67	120
11	14	87	13.86	101
12	10	75	11.76	85
13	8	56	12.50	64
14	0	38	0.00	38
15	1	48	2.04	49
16	4	35	10.26	39
17	0	33	0.00	33
18	1	49	2.00	50
19	0	28	0.00	28
20	0	29	0.00	29
21	0	45	0.00	45
22	0	29	0.00	29
23	0	32	0.00	32
24	0	30	0.00	30
25	0	18	0.00	18
26	0	24	0.00	24
27	0	31	0.00	31
28	0	32	0.00	32
29	0	35	0.00	35
30	0	28	0.00	28
31	0	26	0.00	26
32	0	38	0.00	38
33	0	23	0.00	23
34	0	22	0.00	22
35	0	18	0.00	18
36	0	27	0.00	27
37	0	25	0.00	25
38	0	16	0.00	16
39	0	21	0.00	21
40	0	21	0.00	21
41	0	11	0.00	11
42	0	12	0.00	12
43	0	25	0.00	25
44	0	14	0.00	14
45	0	21	0.00	21
46	0	15	0.00	15
47	0	10	0.00	10
48	0	15	0.00	15
49	0	5	0.00	5
50	0	12	0.00	12
51	0	7	0.00	7
52	0	10	0.00	10
53	0	8	0.00	8
54	0	11	0.00	11
55	0	13	0.00	13
56	0	9	0.00	9
57	0	8	0.00	8
58	0	10	0.00	10
59	0	6	0.00	6
60	0	6	0.00	6
61	0	9	0.00	9
62	0	2	0.00	2
63	0	7	0.00	7
64	0	2	0.00	2
65	0	10	0.00	10
66	0	3	0.00	3
67	1	1	50.00	2
68	0	0		0
69	0	0		0
70	0	0		0
71	0	6	0.00	6
72	0	0		0
73	0	0		0
74	0	2	0.00	2
75	0	1	0.00	1
76	0	0		0
77	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	524	768	40.56	1292
2	383	829	31.60	1212
3	322	826	28.05	1148
4	348	895	28.00	1243
5	361	824	30.46	1185
6	309	770	28.64	1079
7	268	726	26.96	994
8	226	596	27.49	822
9	138	537	20.44	675
10	136	413	24.77	549
11	137	300	31.35	437
12	69	242	22.19	311
13	41	225	15.41	266
14	25	190	11.63	215
15	21	129	14.00	150
16	12	118	9.23	130
17	10	110	8.33	120
18	5	88	5.38	93
19	13	81	13.83	94
20	3	80	3.61	83
21	8	68	10.53	76
22	2	91	2.15	93
23	2	81	2.41	83
24	0	81	0.00	81
25	8	69	10.39	77
26	7	62	10.14	69
27	0	48	0.00	48
28	0	82	0.00	82
29	7	75	8.54	82
30	0	59	0.00	59
31	1	46	2.13	47
32	0	68	0.00	68
33	0	70	0.00	70
34	0	61	0.00	61
35	2	53	3.64	55
36	0	45	0.00	45
37	0	49	0.00	49
38	0	65	0.00	65
39	0	51	0.00	51
40	0	44	0.00	44
41	0	55	0.00	55
42	0	34	0.00	34
43	0	38	0.00	38
44	0	38	0.00	38
45	0	41	0.00	41
46	0	51	0.00	51
47	0	37	0.00	37
48	0	25	0.00	25
49	0	28	0.00	28
50	0	35	0.00	35
51	0	22	0.00	22
52	0	27	0.00	27
53	0	29	0.00	29
54	0	20	0.00	20
55	1	24	4.00	25
56	0	20	0.00	20
57	0	19	0.00	19
58	0	22	0.00	22
59	0	22	0.00	22
60	0	16	0.00	16
61	0	18	0.00	18
62	0	26	0.00	26
63	0	14	0.00	14
64	0	24	0.00	24
65	0	7	0.00	7
66	0	6	0.00	6
67	0	7	0.00	7
68	0	5	0.00	5
69	0	4	0.00	4
70	0	3	0.00	3
71	0	1	0.00	1
72	0	2	0.00	2
73	0	1	0.00	1
74	0	3	0.00	3
75	0	1	0.00	1
76	0	0		0
77	0	0		0

