CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	4577	10234	30.90	14811
2	1840	9906	15.66	11746
3	2806	8940	23.89	11746
4	3412	11830	22.39	15242
5	2969	12018	19.81	14987
6	3144	11042	22.16	14186
7	2848	11284	20.15	14132
8	3701	10922	25.31	14623
9	3653	12653	22.40	16306
10	3186	11960	21.04	15146
11	3551	11826	23.09	15377
12	3655	12030	23.30	15685
13	3427	12118	22.05	15545
14	3532	11681	23.22	15213
15	3445	12264	21.93	15709
16	3374	12084	21.83	15458
17	3496	12036	22.51	15532
18	3310	11933	21.71	15243
19	3383	12005	21.98	15388
20	3220	11731	21.54	14951
21	3300	11945	21.65	15245
22	3308	11897	21.76	15205
23	3239	12027	21.22	15266
24	3157	11957	20.89	15114
25	3244	11681	21.74	14925
26	3237	11585	21.84	14822
27	3231	11868	21.40	15099
28	3283	11619	22.03	14902
29	3189	11835	21.23	15024
30	3061	11417	21.14	14478
31	3117	11566	21.23	14683
32	3105	11444	21.34	14549
33	3109	11567	21.18	14676
34	3098	11450	21.30	14548
35	2908	11404	20.32	14312
36	2942	11421	20.48	14363
37	3019	11397	20.94	14416
38	2898	11216	20.53	14114
39	2831	11073	20.36	13904
40	2850	11105	20.42	13955
41	2867	11029	20.63	13896
42	2896	11170	20.59	14066
43	2893	11009	20.81	13902
44	2840	11199	20.23	14039
45	2806	10914	20.45	13720
46	2814	10863	20.57	13677
47	2843	10635	21.09	13478
48	2773	10787	20.45	13560
49	2756	10673	20.52	13429
50	2704	10540	20.42	13244
51	2659	10392	20.37	13051
52	2739	10975	19.97	13714
53	2694	10313	20.71	13007
54	2640	10674	19.83	13314
55	2707	10291	20.83	12998
56	2593	10627	19.61	13220
57	2629	10270	20.38	12899
58	2594	10646	19.59	13240
59	2588	10020	20.53	12608
60	2570	10567	19.56	13137
61	2494	10141	19.74	12635
62	2590	10140	20.35	12730
63	2622	9925	20.90	12547
64	2547	10271	19.87	12818
65	2503	9712	20.49	12215
66	2533	10241	19.83	12774
67	2571	9861	20.68	12432
68	2577	10010	20.47	12587
69	2616	9862	20.96	12478
70	2537	10081	20.11	12618
71	2564	9627	21.03	12191
72	2610	9962	20.76	12572
73	2486	9651	20.48	12137
74	2488	9784	20.27	12272
75	2574	9697	20.98	12271
76	2409	9715	19.87	12124
77	2537	9543	21.00	12080
78	2480	9732	20.31	12212
79	2516	9743	20.52	12259
80	2510	9593	20.74	12103
81	2551	9442	21.27	11993
82	2535	9757	20.62	12292
83	2495	9433	20.92	11928
84	2362	9451	19.99	11813
85	2523	9538	20.92	12061
86	2544	9470	21.18	12014
87	2456	9346	20.81	11802
88	2453	9506	20.51	11959
89	2392	9302	20.45	11694
90	2482	9297	21.07	11779
91	2375	9144	20.62	11519
92	2435	9224	20.89	11659
93	2292	9080	20.15	11372
94	2334	9079	20.45	11413
95	2293	9011	20.28	11304
96	2404	9138	20.83	11542
97	2416	9094	20.99	11510
98	2370	8978	20.88	11348
99	2347	8946	20.78	11293
100	2395	8897	21.21	11292
101	2362	8859	21.05	11221
102	2394	9089	20.85	11483
103	2368	8864	21.08	11232
104	2321	8915	20.66	11236
105	2426	8927	21.37	11353
106	2320	8936	20.61	11256
107	2339	8912	20.79	11251
108	2423	8689	21.81	11112
109	2395	8783	21.43	11178
110	2292	8840	20.59	11132
111	2375	8773	21.30	11148
112	2307	8701	20.96	11008
113	2305	8658	21.03	10963
114	2302	8723	20.88	11025
115	2365	8644	21.48	11009
116	2366	8582	21.61	10948
117	2361	8702	21.34	11063
118	2338	8636	21.30	10974
119	2418	8758	21.64	11176
120	2335	8741	21.08	11076
121	2318	8793	20.86	11111
122	2297	8609	21.06	10906
123	2375	8497	21.85	10872
124	2263	8585	20.86	10848
125	2321	8790	20.89	11111
126	2341	8552	21.49	10893
127	2294	8643	20.97	10937
128	2298	8479	21.32	10777
129	2409	8594	21.89	11003
130	2394	8489	22.00	10883
131	2355	8513	21.67	10868
132	2386	8552	21.81	10938
133	2334	8350	21.85	10684
134	2329	8384	21.74	10713
135	2420	8579	22.00	10999
136	2290	8466	21.29	10756
137	2333	8286	21.97	10619
138	2271	8227	21.63	10498
139	2353	8142	22.42	10495
140	2327	8336	21.82	10663
141	2365	8138	22.52	10503
142	2306	8244	21.86	10550
143	2340	8215	22.17	10555
144	2272	8095	21.92	10367
145	2270	8138	21.81	10408
146	2224	8207	21.32	10431
147	2320	8043	22.39	10363
148	2200	7868	21.85	10068
149	2453	7934	23.62	10387
150	2381	7896	23.17	10277
151	2215	7542	22.70	9757

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	832	55483	1.48	56315
2	682	38614	1.74	39296
3	714	40454	1.73	41168
4	599	44768	1.32	45367
5	499	45077	1.09	45576
6	485	43253	1.11	43738
7	417	38009	1.09	38426
8	460	41986	1.08	42446
9	482	41595	1.15	42077
10	481	43171	1.10	43652
11	503	44867	1.11	45370
12	470	42926	1.08	43396
13	546	43420	1.24	43966
14	514	43430	1.17	43944
15	468	42868	1.08	43336
16	467	42812	1.08	43279
17	464	42703	1.07	43167
18	471	42833	1.09	43304
19	487	42677	1.13	43164
20	441	42426	1.03	42867
21	490	42155	1.15	42645
22	507	42379	1.18	42886
23	528	42043	1.24	42571
24	437	42037	1.03	42474
25	426	41879	1.01	42305
26	449	41984	1.06	42433
27	487	41881	1.15	42368
28	463	42032	1.09	42495
29	455	41790	1.08	42245
30	487	41696	1.15	42183
31	461	41598	1.10	42059
32	491	41542	1.17	42033
33	464	41371	1.11	41835
34	443	41297	1.06	41740
35	472	41443	1.13	41915
36	458	41362	1.10	41820
37	444	41022	1.07	41466
38	433	40940	1.05	41373
39	433	41383	1.04	41816
40	520	41361	1.24	41881
41	483	40839	1.17	41322
42	488	41060	1.17	41548
43	488	41182	1.17	41670
44	437	40662	1.06	41099
45	529	40663	1.28	41192
46	520	41008	1.25	41528
47	498	40667	1.21	41165
48	501	40582	1.22	41083
49	499	40196	1.23	40695
50	497	40415	1.21	40912
51	485	40419	1.19	40904
52	470	40462	1.15	40932
53	459	40604	1.12	41063
54	508	40355	1.24	40863
55	498	40466	1.22	40964
56	471	40029	1.16	40500
57	466	40263	1.14	40729
58	507	40089	1.25	40596
59	470	40121	1.16	40591
60	456	39620	1.14	40076
61	459	40104	1.13	40563
62	444	39733	1.11	40177
63	464	40101	1.14	40565
64	482	39595	1.20	40077
65	432	39876	1.07	40308
66	462	39603	1.15	40065
67	423	39693	1.05	40116
68	419	39501	1.05	39920
69	455	39454	1.14	39909
70	441	39376	1.11	39817
71	444	39162	1.12	39606
72	428	39230	1.08	39658
73	437	39195	1.10	39632
74	446	39219	1.12	39665
75	392	39236	0.99	39628
76	454	39119	1.15	39573
77	431	39552	1.08	39983
78	400	38980	1.02	39380
79	414	38723	1.06	39137
80	377	38627	0.97	39004
81	432	38666	1.10	39098
82	359	38499	0.92	38858
83	432	38581	1.11	39013
84	405	38076	1.05	38481
85	396	38847	1.01	39243
86	390	38494	1.00	38884
87	382	38399	0.99	38781
88	417	38399	1.07	38816
89	381	38302	0.98	38683
90	380	38075	0.99	38455
91	385	38330	0.99	38715
92	352	38033	0.92	38385
93	389	37743	1.02	38132
94	397	37715	1.04	38112
95	340	37882	0.89	38222
96	413	38012	1.07	38425
97	390	37914	1.02	38304
98	382	37436	1.01	37818
99	368	37666	0.97	38034
100	416	37433	1.10	37849
101	380	37507	1.00	37887
102	417	37130	1.11	37547
103	372	37351	0.99	37723
104	370	37533	0.98	37903
105	394	37351	1.04	37745
106	356	37551	0.94	37907
107	388	37585	1.02	37973
108	363	36961	0.97	37324
109	344	36917	0.92	37261
110	337	37213	0.90	37550
111	369	37357	0.98	37726
112	414	36760	1.11	37174
113	405	36706	1.09	37111
114	361	36696	0.97	37057
115	342	36604	0.93	36946
116	357	36897	0.96	37254
117	376	36965	1.01	37341
118	386	36659	1.04	37045
119	348	36451	0.95	36799
120	356	37078	0.95	37434
121	359	37088	0.96	37447
122	331	36671	0.89	37002
123	369	36502	1.00	36871
124	362	36914	0.97	37276
125	355	36633	0.96	36988
126	352	36494	0.96	36846
127	360	36350	0.98	36710
128	363	36449	0.99	36812
129	368	36238	1.01	36606
130	371	36488	1.01	36859
