CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	3	32	8.57	35
2	3	43	6.52	46
3	4	48	7.69	52
4	1	42	2.33	43
5	0	46	0.00	46
6	0	52	0.00	52
7	2	37	5.13	39
8	3	30	9.09	33
9	0	19	0.00	19
10	1	13	7.14	14
11	0	2	0.00	2
12	0	5	0.00	5
13	1	1	50.00	2
14	0	0		0
15	0	0		0
16	0	0		0
17	0	0		0
18	0	0		0
19	0	0		0
20	0	0		0
21	0	0		0
22	0	0		0
23	0	0		0
24	0	0		0
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0
31	0	0		0
32	0	0		0
33	0	0		0
34	0	0		0
35	0	0		0
36	0	0		0
37	0	0		0
38	0	0		0
39	0	0		0
40	0	0		0
41	0	0		0
42	0	0		0
43	0	0		0
44	0	0		0
45	0	0		0
46	0	0		0
47	0	0		0
48	0	0		0
49	0	0		0
50	0	0		0
51	0	0		0
52	0	0		0
53	0	0		0
54	0	0		0
55	0	0		0
56	0	0		0
57	0	0		0
58	0	0		0
59	0	0		0
60	0	0		0
61	0	1	0.00	1
62	0	0		0
63	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	3	31	8.82	34
2	6	27	18.18	33
3	3	44	6.38	47
4	3	31	8.82	34
5	4	30	11.76	34
6	2	27	6.90	29
7	2	26	7.14	28
8	2	24	7.69	26
9	0	13	0.00	13
10	1	13	7.14	14
11	0	5	0.00	5
12	1	6	14.29	7
13	0	1	0.00	1
14	0	3	0.00	3
15	0	0		0
16	0	0		0
17	0	0		0
18	0	0		0
19	0	1	0.00	1
20	0	0		0
21	0	0		0
22	0	0		0
23	0	0		0
24	0	0		0
25	0	0		0
26	0	0		0
27	0	1	0.00	1
28	0	0		0
29	0	0		0
30	0	0		0
31	0	0		0
32	0	0		0
33	0	0		0
34	0	0		0
35	0	0		0
36	0	0		0
37	0	1	0.00	1
38	0	0		0
39	0	0		0
40	0	0		0
41	0	0		0
42	0	0		0
43	0	0		0
44	0	0		0
45	0	1	0.00	1
46	0	0		0
47	0	0		0
48	0	0		0
49	0	0		0
50	0	0		0
51	0	0		0
52	0	0		0
53	0	0		0
54	0	0		0
55	0	0		0
56	0	0		0
57	0	0		0
58	0	0		0
59	0	0		0
60	0	0		0
61	0	0		0
62	0	0		0
63	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	3	93	3.12	96
2	3	76	3.80	79
3	1	60	1.64	61
4	8	67	10.67	75
5	8	53	13.11	61
6	7	59	10.61	66
7	3	54	5.26	57
8	6	37	13.95	43
9	3	33	8.33	36
10	2	34	5.56	36
11	1	26	3.70	27
12	1	11	8.33	12
13	0	10	0.00	10
14	1	1	50.00	2
15	0	1	0.00	1
16	0	2	0.00	2
17	0	2	0.00	2
18	0	1	0.00	1
19	0	1	0.00	1
20	0	0		0
21	0	1	0.00	1
22	0	0		0
23	0	0		0
24	0	1	0.00	1
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0
31	0	1	0.00	1
32	0	0		0
33	0	1	0.00	1
34	0	0		0
35	0	0		0
36	0	0		0
37	0	0		0
38	0	0		0
39	0	0		0
40	0	1	0.00	1
41	0	0		0
42	0	0		0
43	0	0		0
44	0	0		0
45	0	0		0
46	0	1	0.00	1
47	0	0		0
48	0	0		0
49	0	0		0
50	0	1	0.00	1
51	0	0		0
52	0	0		0
53	0	1	0.00	1
54	0	0		0
55	0	0		0
56	0	1	0.00	1
57	0	0		0
58	0	1	0.00	1
59	0	0		0
60	0	0		0
61	0	1	0.00	1
62	0	0		0
63	0	1	0.00	1

