CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	234	571	29.07	805
2	106	717	12.88	823
3	114	544	17.33	658
4	105	606	14.77	711
5	106	474	18.28	580
6	86	405	17.52	491
7	86	332	20.57	418
8	60	314	16.04	374
9	33	262	11.19	295
10	37	205	15.29	242
11	37	193	16.09	230
12	33	154	17.65	187
13	24	124	16.22	148
14	18	92	16.36	110
15	13	70	15.66	83
16	14	78	15.22	92
17	14	78	15.22	92
18	30	80	27.27	110
19	12	70	14.63	82
20	12	79	13.19	91
21	12	61	16.44	73
22	6	70	7.89	76
23	14	57	19.72	71
24	12	52	18.75	64
25	12	73	14.12	85
26	12	68	15.00	80
27	8	59	11.94	67
28	5	68	6.85	73
29	8	52	13.33	60
30	5	52	8.77	57
31	8	37	17.78	45
32	4	24	14.29	28
33	5	42	10.64	47
34	4	40	9.09	44
35	9	37	19.57	46
36	12	31	27.91	43
37	6	33	15.38	39
38	4	31	11.43	35
39	5	30	14.29	35
40	2	35	5.41	37
41	9	28	24.32	37
42	5	18	21.74	23
43	3	35	7.89	38
44	3	34	8.11	37
45	4	22	15.38	26
46	0	32	0.00	32
47	5	33	13.16	38
48	3	47	6.00	50
49	4	31	11.43	35
50	7	23	23.33	30
51	1	23	4.17	24
52	1	23	4.17	24
53	2	17	10.53	19
54	3	18	14.29	21
55	1	13	7.14	14
56	3	18	14.29	21
57	1	15	6.25	16
58	0	20	0.00	20
59	3	18	14.29	21
60	0	14	0.00	14
61	2	18	10.00	20
62	1	12	7.69	13
63	1	8	11.11	9
64	0	9	0.00	9
65	1	10	9.09	11
66	0	1	0.00	1
67	1	8	11.11	9
68	0	10	0.00	10
69	2	3	40.00	5
70	0	9	0.00	9
71	2	7	22.22	9
72	0	4	0.00	4
73	0	4	0.00	4
74	0	1	0.00	1
75	0	3	0.00	3
76	0	1	0.00	1
77	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	254	741	25.53	995
2	230	1009	18.56	1239
3	168	1243	11.91	1411
4	163	885	15.55	1048
5	160	985	13.97	1145
6	111	711	13.50	822
7	107	640	14.32	747
8	89	514	14.76	603
9	67	443	13.14	510
10	47	371	11.24	418
11	39	314	11.05	353
12	26	244	9.63	270
13	14	217	6.06	231
14	13	180	6.74	193
15	2	176	1.12	178
16	3	143	2.05	146
17	4	140	2.78	144
18	0	135	0.00	135
19	1	100	0.99	101
20	1	124	0.80	125
21	0	129	0.00	129
22	2	99	1.98	101
23	0	108	0.00	108
24	0	114	0.00	114
25	0	100	0.00	100
26	2	113	1.74	115
27	1	93	1.06	94
28	0	100	0.00	100
29	0	89	0.00	89
30	0	91	0.00	91
31	0	92	0.00	92
32	0	98	0.00	98
33	0	94	0.00	94
34	0	79	0.00	79
35	0	97	0.00	97
36	0	80	0.00	80
37	0	83	0.00	83
38	0	70	0.00	70
39	0	67	0.00	67
40	0	76	0.00	76
41	0	60	0.00	60
42	1	56	1.75	57
43	1	51	1.92	52
44	0	60	0.00	60
45	0	58	0.00	58
46	2	49	3.92	51
47	0	46	0.00	46
48	0	41	0.00	41
49	0	40	0.00	40
50	0	46	0.00	46
51	0	42	0.00	42
52	0	44	0.00	44
53	0	33	0.00	33
54	0	29	0.00	29
55	0	26	0.00	26
56	0	34	0.00	34
57	0	29	0.00	29
58	0	13	0.00	13
59	0	29	0.00	29
60	0	18	0.00	18
61	1	25	3.85	26
62	1	12	7.69	13
63	1	11	8.33	12
64	0	19	0.00	19
65	0	25	0.00	25
66	0	17	0.00	17
67	0	13	0.00	13
68	0	8	0.00	8
69	0	6	0.00	6
70	0	6	0.00	6
71	0	5	0.00	5
72	0	5	0.00	5
73	0	5	0.00	5
74	0	2	0.00	2
75	0	4	0.00	4
76	0	4	0.00	4
77	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1814	3931	31.58	5745
2	1490	4167	26.34	5657
3	1363	4121	24.85	5484
4	1335	4308	23.66	5643
5	1224	4320	22.08	5544
6	1064	4106	20.58	5170
7	947	3787	20.00	4734
8	820	3198	20.41	4018
9	595	2724	17.93	3319
10	435	2201	16.50	2636
11	344	1745	16.47	2089
12	264	1352	16.34	1616
13	149	1009	12.87	1158
14	97	845	10.30	942
15	55	614	8.22	669
16	32	476	6.30	508
17	17	433	3.78	450
18	12	378	3.08	390
19	10	367	2.65	377
20	4	372	1.06	376
21	4	297	1.33	301
22	5	299	1.64	304
23	0	316	0.00	316
24	2	275	0.72	277
25	2	276	0.72	278
26	7	251	2.71	258
27	1	241	0.41	242
28	1	262	0.38	263
29	2	250	0.79	252
30	0	235	0.00	235
31	1	239	0.42	240
32	0	245	0.00	245
33	1	204	0.49	205
34	2	200	0.99	202
35	0	215	0.00	215
36	0	202	0.00	202
37	1	163	0.61	164
38	0	180	0.00	180
39	3	176	1.68	179
40	0	152	0.00	152
41	0	163	0.00	163
42	0	163	0.00	163
43	1	148	0.67	149
44	0	146	0.00	146
45	0	130	0.00	130
46	0	113	0.00	113
47	0	112	0.00	112
48	0	106	0.00	106
49	0	117	0.00	117
50	0	105	0.00	105
51	0	88	0.00	88
52	0	104	0.00	104
53	0	84	0.00	84
54	1	86	1.15	87
55	0	96	0.00	96
56	0	81	0.00	81
57	0	78	0.00	78
58	0	76	0.00	76
59	0	58	0.00	58
60	0	55	0.00	55
61	0	53	0.00	53
62	0	48	0.00	48
63	0	38	0.00	38
64	0	33	0.00	33
65	0	42	0.00	42
66	0	27	0.00	27
67	2	24	7.69	26
68	2	26	7.14	28
69	0	16	0.00	16
70	1	11	8.33	12
71	0	9	0.00	9
72	0	13	0.00	13
73	0	9	0.00	9
74	0	3	0.00	3
75	0	1	0.00	1
76	0	1	0.00	1
77	0	1	0.00	1

