CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	40	20	66.67	60
2	1	14	6.67	15
3	1	10	9.09	11
4	3	8	27.27	11
5	2	8	20.00	10
6	6	8	42.86	14
7	3	7	30.00	10
8	1	6	14.29	7
9	6	8	42.86	14
10	0	6	0.00	6
11	3	4	42.86	7
12	2	3	40.00	5
13	4	1	80.00	5
14	1	2	33.33	3
15	0	2	0.00	2
16	0	1	0.00	1
17	1	0	100.00	1
18	2	0	100.00	2
19	0	0		0
20	1	1	50.00	2
21	1	1	50.00	2
22	0	0		0
23	1	0	100.00	1
24	0	0		0
25	1	0	100.00	1
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	37	17	68.52	54
2	48	23	67.61	71
3	3	10	23.08	13
4	2	6	25.00	8
5	5	13	27.78	18
6	8	8	50.00	16
7	11	4	73.33	15
8	11	7	61.11	18
9	6	7	46.15	13
10	5	3	62.50	8
11	5	5	50.00	10
12	9	3	75.00	12
13	6	4	60.00	10
14	3	2	60.00	5
15	4	1	80.00	5
16	3	0	100.00	3
17	4	0	100.00	4
18	1	1	50.00	2
19	2	0	100.00	2
20	3	0	100.00	3
21	4	1	80.00	5
22	0	1	0.00	1
23	0	0		0
24	2	0	100.00	2
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	470	155	75.20	625
2	388	207	65.21	595
3	405	251	61.74	656
4	417	251	62.43	668
5	452	230	66.28	682
6	399	227	63.74	626
7	396	223	63.97	619
8	441	188	70.11	629
9	349	177	66.35	526
10	258	176	59.45	434
11	312	143	68.57	455
12	235	115	67.14	350
13	225	93	70.75	318
14	203	103	66.34	306
15	136	56	70.83	192
16	112	53	67.88	165
17	91	46	66.42	137
18	74	56	56.92	130
19	92	32	74.19	124
20	42	13	76.36	55
21	30	13	69.77	43
22	23	17	57.50	40
23	11	8	57.89	19
24	5	0	100.00	5
25	3	5	37.50	8
26	5	2	71.43	7
27	4	3	57.14	7
28	4	1	80.00	5
29	2	1	66.67	3
30	3	1	75.00	4

