CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	7104	23316	23.35	30420
2	3079	26298	10.48	29377
3	4304	25262	14.56	29566
4	4139	28101	12.84	32240
5	4485	27737	13.92	32222
6	3656	25684	12.46	29340
7	4339	25355	14.61	29694
8	4559	25791	15.02	30350
9	4293	26131	14.11	30424
10	4372	25201	14.78	29573
11	4564	25936	14.96	30500
12	4720	26400	15.17	31120
13	4482	26115	14.65	30597
14	4483	25225	15.09	29708
15	4404	26151	14.41	30555
16	4576	25722	15.10	30298
17	4392	26634	14.16	31026
18	4305	25811	14.29	30116
19	4461	26103	14.60	30564
20	4420	26033	14.51	30453
21	4242	26041	14.01	30283
22	4230	26024	13.98	30254
23	4144	25861	13.81	30005
24	4214	25558	14.15	29772
25	4202	25758	14.03	29960
26	4210	25342	14.25	29552
27	4222	25809	14.06	30031
28	4220	26099	13.92	30319
29	4121	26052	13.66	30173
30	4248	26382	13.87	30630
31	4223	25707	14.11	29930
32	4023	26012	13.39	30035
33	4025	25524	13.62	29549
34	4086	25799	13.67	29885
35	4006	25288	13.68	29294
36	3957	25999	13.21	29956
37	3945	25207	13.53	29152
38	3951	25726	13.31	29677
39	3872	24862	13.48	28734
40	3765	25589	12.83	29354
41	3846	24734	13.46	28580
42	3896	25333	13.33	29229
43	3908	24399	13.81	28307
44	3863	25220	13.28	29083
45	3697	24229	13.24	27926
46	3907	25267	13.39	29174
47	3831	24391	13.57	28222
48	3782	25194	13.05	28976
49	3660	23894	13.28	27554
50	3731	24920	13.02	28651
51	3686	23835	13.39	27521
52	3642	24361	13.01	28003
53	3711	23927	13.43	27638
54	3637	24231	13.05	27868
55	3601	23391	13.34	26992
56	3608	24008	13.06	27616
57	3630	23186	13.54	26816
58	3735	23718	13.61	27453
59	3538	23212	13.23	26750
60	3655	23390	13.51	27045
61	3566	22987	13.43	26553
62	3558	23310	13.24	26868
63	3589	22678	13.66	26267
64	3513	23178	13.16	26691
65	3537	22224	13.73	25761
66	3528	22603	13.50	26131
67	3600	21812	14.17	25412
68	3684	22487	14.08	26171
69	3596	21795	14.16	25391
70	3615	22093	14.06	25708
71	3527	21610	14.03	25137
72	3424	21868	13.54	25292
73	3533	21145	14.32	24678
74	3541	21781	13.98	25322
75	3410	20881	14.04	24291
76	3400	21406	13.71	24806
77	3400	20634	14.15	24034
78	3414	21147	13.90	24561
79	3355	20867	13.85	24222
80	3413	20988	13.99	24401
81	3301	20473	13.88	23774
82	3422	20916	14.06	24338
83	3433	20149	14.56	23582
84	3418	20555	14.26	23973
85	3336	19951	14.33	23287
86	3412	20593	14.21	24005
87	3400	19624	14.77	23024
88	3410	20418	14.31	23828
89	3380	19777	14.60	23157
90	3299	19934	14.20	23233
91	3415	19796	14.71	23211
92	3272	19612	14.30	22884
93	3304	19079	14.76	22383
94	3285	19394	14.48	22679
95	3339	18830	15.06	22169
96	3117	19240	13.94	22357
97	3278	18785	14.86	22063
98	3187	19089	14.31	22276
99	3238	18595	14.83	21833
100	3243	18830	14.69	22073
101	3190	18450	14.74	21640
102	3192	18592	14.65	21784
103	3185	18349	14.79	21534
104	3165	18239	14.79	21404
105	3265	18218	15.20	21483
106	3217	18331	14.93	21548
107	3263	17781	15.51	21044
108	3273	18110	15.31	21383
109	3161	17829	15.06	20990
110	3274	18030	15.37	21304
111	3229	17522	15.56	20751
112	3120	17670	15.01	20790
113	3138	17555	15.16	20693
114	3177	17596	15.29	20773
115	3129	17420	15.23	20549
116	3298	17298	16.01	20596
