CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	9	8	52.94	17
2	5	14	26.32	19
3	2	16	11.11	18
4	4	18	18.18	22
5	1	16	5.88	17
6	3	15	16.67	18
7	2	7	22.22	9
8	2	5	28.57	7
9	4	7	36.36	11
10	1	5	16.67	6
11	0	8	0.00	8
12	1	4	20.00	5
13	3	7	30.00	10
14	0	8	0.00	8
15	1	7	12.50	8
16	0	9	0.00	9
17	1	6	14.29	7
18	2	5	28.57	7
19	0	8	0.00	8
20	0	7	0.00	7
21	1	4	20.00	5
22	0	12	0.00	12
23	1	4	20.00	5
24	0	5	0.00	5
25	2	4	33.33	6
26	1	6	14.29	7
27	0	6	0.00	6
28	0	5	0.00	5
29	0	11	0.00	11
30	0	7	0.00	7
31	1	6	14.29	7
32	1	2	33.33	3
33	0	4	0.00	4
34	1	2	33.33	3
35	0	1	0.00	1
36	0	0		0
37	0	3	0.00	3
38	1	2	33.33	3
39	0	1	0.00	1
40	0	3	0.00	3
41	3	4	42.86	7
42	0	3	0.00	3
43	0	4	0.00	4
44	1	1	50.00	2
45	0	5	0.00	5
46	1	2	33.33	3
47	0	3	0.00	3
48	0	6	0.00	6
49	0	1	0.00	1
50	0	7	0.00	7
51	2	7	22.22	9
52	0	1	0.00	1
53	0	1	0.00	1
54	0	1	0.00	1
55	0	5	0.00	5
56	1	3	25.00	4
57	0	5	0.00	5
58	1	1	50.00	2
59	0	1	0.00	1
60	0	3	0.00	3
61	0	1	0.00	1
62	0	1	0.00	1
63	0	3	0.00	3
64	0	1	0.00	1
65	0	1	0.00	1
66	0	1	0.00	1
67	0	2	0.00	2
68	0	1	0.00	1
69	0	0		0
70	0	0		0
71	0	1	0.00	1
72	0	0		0
73	0	0		0
74	0	1	0.00	1
75	0	0		0
76	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	6	14	30.00	20
2	9	18	33.33	27
3	5	35	12.50	40
4	2	22	8.33	24
5	5	18	21.74	23
6	1	20	4.76	21
7	7	9	43.75	16
8	1	13	7.14	14
9	3	14	17.65	17
10	2	16	11.11	18
11	0	10	0.00	10
12	0	9	0.00	9
13	2	15	11.76	17
14	1	10	9.09	11
15	0	10	0.00	10
16	0	9	0.00	9
17	1	11	8.33	12
18	0	3	0.00	3
19	0	9	0.00	9
20	0	11	0.00	11
21	1	5	16.67	6
22	0	7	0.00	7
23	0	7	0.00	7
24	0	8	0.00	8
25	0	7	0.00	7
26	0	12	0.00	12
27	0	6	0.00	6
28	0	2	0.00	2
29	0	13	0.00	13
30	0	8	0.00	8
31	0	5	0.00	5
32	0	8	0.00	8
33	0	9	0.00	9
34	0	9	0.00	9
35	0	9	0.00	9
36	0	3	0.00	3
37	0	6	0.00	6
38	0	6	0.00	6
39	0	10	0.00	10
40	0	6	0.00	6
41	0	6	0.00	6
42	0	6	0.00	6
43	0	8	0.00	8
44	0	4	0.00	4
45	0	5	0.00	5
46	0	7	0.00	7
47	0	7	0.00	7
48	0	3	0.00	3
49	0	8	0.00	8
50	0	7	0.00	7
51	0	2	0.00	2
52	0	3	0.00	3
53	0	2	0.00	2
54	1	3	25.00	4
55	0	4	0.00	4
56	0	4	0.00	4
57	0	5	0.00	5
58	0	4	0.00	4
59	0	4	0.00	4
60	0	2	0.00	2
61	0	3	0.00	3
62	0	0		0
63	0	1	0.00	1
64	0	1	0.00	1
65	0	3	0.00	3
66	0	4	0.00	4
67	0	2	0.00	2
68	0	3	0.00	3
69	0	1	0.00	1
70	0	2	0.00	2
71	0	0		0
72	0	0		0
73	0	2	0.00	2
74	0	0		0
75	0	0		0
76	0	1	0.00	1

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	66	89	42.58	155
2	51	65	43.97	116
3	63	87	42.00	150
4	55	71	43.65	126
5	52	74	41.27	126
6	48	60	44.44	108
7	43	70	38.05	113
8	44	71	38.26	115
9	43	51	45.74	94
10	31	48	39.24	79
11	29	51	36.25	80
12	24	40	37.50	64
13	19	31	38.00	50
14	20	35	36.36	55
15	5	26	16.13	31
16	6	28	17.65	34
17	7	29	19.44	36
18	8	22	26.67	30
19	4	26	13.33	30
20	6	17	26.09	23
21	1	19	5.00	20
22	1	12	7.69	13
23	0	25	0.00	25
24	1	18	5.26	19
25	0	14	0.00	14
26	0	14	0.00	14
27	1	12	7.69	13
28	1	10	9.09	11
29	1	12	7.69	13
30	0	11	0.00	11
31	0	17	0.00	17
32	0	8	0.00	8
33	0	14	0.00	14
34	0	16	0.00	16
35	0	16	0.00	16
36	0	15	0.00	15
37	0	12	0.00	12
38	0	15	0.00	15
39	0	12	0.00	12
40	0	17	0.00	17
41	0	10	0.00	10
42	0	17	0.00	17
43	0	15	0.00	15
44	0	11	0.00	11
45	0	10	0.00	10
46	0	7	0.00	7
47	0	9	0.00	9
48	0	12	0.00	12
49	0	11	0.00	11
50	0	9	0.00	9
51	0	6	0.00	6
52	0	9	0.00	9
53	0	10	0.00	10
54	0	8	0.00	8
55	0	12	0.00	12
56	0	7	0.00	7
57	0	5	0.00	5
58	0	9	0.00	9
59	0	9	0.00	9
60	0	4	0.00	4
61	0	6	0.00	6
62	0	6	0.00	6
63	0	5	0.00	5
64	0	3	0.00	3
65	0	4	0.00	4
66	0	3	0.00	3
67	0	0		0
68	0	3	0.00	3
69	0	1	0.00	1
70	0	2	0.00	2
71	0	2	0.00	2
72	0	2	0.00	2
73	0	2	0.00	2
74	0	1	0.00	1
75	0	0		0
76	0	0		0

