CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	34	29	53.97	63
2	6	11	35.29	17
3	1	4	20.00	5
4	1	10	9.09	11
5	2	11	15.38	13
6	5	10	33.33	15
7	6	6	50.00	12
8	4	9	30.77	13
9	6	11	35.29	17
10	4	7	36.36	11
11	9	2	81.82	11
12	3	3	50.00	6
13	3	3	50.00	6
14	2	0	100.00	2
15	0	1	0.00	1
16	2	0	100.00	2
17	1	0	100.00	1
18	1	0	100.00	1
19	2	0	100.00	2
20	2	0	100.00	2
21	1	0	100.00	1
22	0	0		0
23	0	1	0.00	1
24	1	0	100.00	1
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0
31	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	51	14	78.46	65
2	50	37	57.47	87
3	7	13	35.00	20
4	8	10	44.44	18
5	6	12	33.33	18
6	9	7	56.25	16
7	13	13	50.00	26
8	9	7	56.25	16
9	12	3	80.00	15
10	13	5	72.22	18
11	11	8	57.89	19
12	8	3	72.73	11
13	17	2	89.47	19
14	7	2	77.78	9
15	6	2	75.00	8
16	6	1	85.71	7
17	7	0	100.00	7
18	3	0	100.00	3
19	5	1	83.33	6
20	4	0	100.00	4
21	2	0	100.00	2
22	0	0		0
23	0	0		0
24	0	0		0
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	1	0.00	1
30	0	0		0
31	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	732	193	79.14	925
2	660	276	70.51	936
3	554	364	60.35	918
4	623	335	65.03	958
5	673	268	71.52	941
6	575	285	66.86	860
7	612	284	68.30	896
8	563	250	69.25	813
9	539	215	71.49	754
10	404	227	64.03	631
11	398	197	66.89	595
12	369	135	73.21	504
13	327	149	68.70	476
14	290	133	68.56	423
15	176	71	71.26	247
16	157	57	73.36	214
17	144	54	72.73	198
18	100	72	58.14	172
19	91	55	62.33	146
20	56	31	64.37	87
21	46	21	68.66	67
22	22	22	50.00	44
23	20	4	83.33	24
24	2	1	66.67	3
25	4	5	44.44	9
26	6	1	85.71	7
27	4	3	57.14	7
28	6	2	75.00	8
29	7	0	100.00	7
30	8	4	66.67	12
31	0	2	0.00	2

