CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	7	25	21.88	32
2	3	32	8.57	35
3	2	15	11.76	17
4	7	32	17.95	39
5	4	27	12.90	31
6	2	17	10.53	19
7	3	24	11.11	27
8	2	14	12.50	16
9	0	11	0.00	11
10	0	12	0.00	12
11	1	14	6.67	15
12	0	3	0.00	3
13	2	8	20.00	10
14	1	12	7.69	13
15	0	9	0.00	9
16	1	7	12.50	8
17	2	9	18.18	11
18	3	8	27.27	11
19	0	10	0.00	10
20	0	6	0.00	6
21	1	6	14.29	7
22	1	17	5.56	18
23	0	6	0.00	6
24	0	10	0.00	10
25	0	7	0.00	7
26	1	5	16.67	6
27	0	8	0.00	8
28	0	10	0.00	10
29	1	10	9.09	11
30	0	9	0.00	9
31	0	6	0.00	6
32	0	3	0.00	3
33	0	5	0.00	5
34	0	8	0.00	8
35	0	8	0.00	8
36	0	7	0.00	7
37	1	11	8.33	12
38	2	4	33.33	6
39	2	8	20.00	10
40	0	3	0.00	3
41	1	5	16.67	6
42	0	8	0.00	8
43	0	6	0.00	6
44	0	2	0.00	2
45	0	5	0.00	5
46	0	9	0.00	9
47	0	7	0.00	7
48	0	5	0.00	5
49	0	3	0.00	3
50	0	4	0.00	4
51	0	4	0.00	4
52	0	12	0.00	12
53	0	4	0.00	4
54	0	3	0.00	3
55	0	4	0.00	4
56	0	2	0.00	2
57	0	1	0.00	1
58	0	3	0.00	3
59	0	2	0.00	2
60	0	4	0.00	4
61	0	5	0.00	5
62	0	2	0.00	2
63	0	0		0
64	0	1	0.00	1
65	0	3	0.00	3
66	0	2	0.00	2
67	0	1	0.00	1
68	0	5	0.00	5
69	0	1	0.00	1
70	0	3	0.00	3
71	0	0		0
72	0	1	0.00	1
73	0	1	0.00	1
74	0	2	0.00	2
75	0	0		0
76	0	1	0.00	1
77	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	15	34	30.61	49
2	13	24	35.14	37
3	6	38	13.64	44
4	3	33	8.33	36
5	4	34	10.53	38
6	5	29	14.71	34
7	6	25	19.35	31
8	3	24	11.11	27
9	2	26	7.14	28
10	3	21	12.50	24
11	1	20	4.76	21
12	1	16	5.88	17
13	1	14	6.67	15
14	0	15	0.00	15
15	1	15	6.25	16
16	1	10	9.09	11
17	3	6	33.33	9
18	0	14	0.00	14
19	0	19	0.00	19
20	1	10	9.09	11
21	0	9	0.00	9
22	0	8	0.00	8
23	0	16	0.00	16
24	0	12	0.00	12
25	0	17	0.00	17
26	0	16	0.00	16
27	0	9	0.00	9
28	0	10	0.00	10
29	0	9	0.00	9
30	0	9	0.00	9
31	0	9	0.00	9
32	0	7	0.00	7
33	0	18	0.00	18
34	0	5	0.00	5
35	0	12	0.00	12
36	0	7	0.00	7
37	0	8	0.00	8
38	0	8	0.00	8
39	0	7	0.00	7
40	0	8	0.00	8
41	0	9	0.00	9
42	0	8	0.00	8
43	0	11	0.00	11
44	0	8	0.00	8
45	0	9	0.00	9
46	0	9	0.00	9
47	0	5	0.00	5
48	0	10	0.00	10
49	0	2	0.00	2
50	0	4	0.00	4
51	0	8	0.00	8
52	0	3	0.00	3
53	0	2	0.00	2
54	0	5	0.00	5
55	0	3	0.00	3
56	0	6	0.00	6
57	0	4	0.00	4
58	0	2	0.00	2
59	0	5	0.00	5
60	0	4	0.00	4
61	0	1	0.00	1
62	0	5	0.00	5
63	0	5	0.00	5
64	0	0		0
65	0	6	0.00	6
66	0	3	0.00	3
67	0	2	0.00	2
68	0	2	0.00	2
69	0	1	0.00	1
70	0	4	0.00	4
71	0	0		0
72	0	1	0.00	1
73	0	0		0
74	0	0		0
75	0	1	0.00	1
76	0	0		0
