CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	5	72	6.49	77
2	1	146	0.68	147
3	1	90	1.10	91
4	7	98	6.67	105
5	10	102	8.93	112
6	16	93	14.68	109
7	4	71	5.33	75
8	0	39	0.00	39
9	2	37	5.13	39
10	2	16	11.11	18
11	0	9	0.00	9
12	1	9	10.00	10
13	0	2	0.00	2
14	0	1	0.00	1
15	0	1	0.00	1
16	0	1	0.00	1
17	0	0		0
18	0	0		0
19	0	0		0
20	0	0		0
21	0	0		0
22	0	0		0
23	0	0		0
24	0	0		0
25	0	1	0.00	1

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	7	47	12.96	54
2	8	48	14.29	56
3	4	141	2.76	145
4	5	71	6.58	76
5	7	82	7.87	89
6	5	62	7.46	67
7	5	50	9.09	55
8	3	38	7.32	41
9	0	21	0.00	21
10	1	15	6.25	16
11	1	12	7.69	13
12	0	9	0.00	9
13	2	5	28.57	7
14	0	3	0.00	3
15	0	1	0.00	1
16	0	0		0
17	0	0		0
18	0	0		0
19	0	1	0.00	1
20	0	0		0
21	0	0		0
22	0	0		0
23	0	0		0
24	0	0		0
25	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	21	98	17.65	119
2	20	120	14.29	140
3	18	98	15.52	116
4	19	151	11.18	170
5	21	120	14.89	141
6	18	93	16.22	111
7	9	92	8.91	101
8	10	56	15.15	66
9	7	45	13.46	52
10	6	32	15.79	38
11	3	21	12.50	24
12	3	9	25.00	12
13	2	5	28.57	7
14	3	0	100.00	3
15	0	2	0.00	2
16	0	0		0
17	0	0		0
18	0	0		0
19	0	0		0
20	0	0		0
21	0	0		0
22	0	0		0
23	0	0		0
24	0	0		0
25	0	0		0

