CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	58	34	63.04	92
2	6	30	16.67	36
3	2	21	8.70	23
4	3	23	11.54	26
5	6	30	16.67	36
6	6	19	24.00	25
7	10	25	28.57	35
8	10	14	41.67	24
9	16	6	72.73	22
10	4	4	50.00	8
11	5	6	45.45	11
12	5	4	55.56	9
13	6	2	75.00	8
14	5	1	83.33	6
15	3	1	75.00	4
16	0	1	0.00	1
17	2	1	66.67	3
18	6	0	100.00	6
19	0	0		0
20	1	0	100.00	1
21	1	1	50.00	2
22	2	0	100.00	2
23	0	1	0.00	1
24	1	0	100.00	1
25	0	1	0.00	1
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	67	39	63.21	106
2	82	41	66.67	123
3	12	43	21.82	55
4	11	26	29.73	37
5	14	23	37.84	37
6	27	26	50.94	53
7	15	16	48.39	31
8	13	21	38.24	34
9	21	13	61.76	34
10	9	6	60.00	15
11	15	8	65.22	23
12	10	10	50.00	20
13	13	7	65.00	20
14	8	6	57.14	14
15	7	3	70.00	10
16	7	1	87.50	8
17	7	2	77.78	9
18	4	1	80.00	5
19	7	4	63.64	11
20	2	1	66.67	3
21	4	2	66.67	6
22	0	1	0.00	1
23	0	1	0.00	1
24	0	0		0
25	0	0		0
26	0	0		0
27	0	0		0
28	0	0		0
29	0	0		0
30	1	0	100.00	1

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	972	261	78.83	1233
2	826	324	71.83	1150
3	800	425	65.31	1225
4	839	428	66.22	1267
5	892	368	70.79	1260
6	805	332	70.80	1137
7	739	355	67.55	1094
8	752	288	72.31	1040
9	644	264	70.93	908
10	552	259	68.06	811
11	519	209	71.29	728
12	463	151	75.41	614
13	413	154	72.84	567
14	341	140	70.89	481
15	260	93	73.65	353
16	214	63	77.26	277
17	189	60	75.90	249
18	137	53	72.11	190
19	113	60	65.32	173
20	79	28	73.83	107
21	56	22	71.79	78
22	37	14	72.55	51
23	27	6	81.82	33
24	5	3	62.50	8
25	17	5	77.27	22
26	12	8	60.00	20
27	18	5	78.26	23
28	7	6	53.85	13
29	6	2	75.00	8
30	3	3	50.00	6

