CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1516	8519	15.11	10035
2	844	8352	9.18	9196
3	1207	8914	11.93	10121
4	1035	9442	9.88	10477
5	1168	10855	9.71	12023
6	1167	9417	11.03	10584
7	1180	9847	10.70	11027
8	1183	8785	11.87	9968
9	1130	9932	10.22	11062
10	1047	8986	10.44	10033
11	1077	9434	10.25	10511
12	1150	8676	11.70	9826
13	938	9477	9.01	10415
14	970	8840	9.89	9810
15	887	9324	8.69	10211
16	967	8905	9.80	9872
17	905	9325	8.85	10230
18	923	8778	9.51	9701
19	878	9158	8.75	10036
20	891	8834	9.16	9725
21	859	9014	8.70	9873
22	903	8860	9.25	9763
23	801	8797	8.35	9598
24	808	8662	8.53	9470
25	761	8600	8.13	9361
26	789	8622	8.38	9411
27	776	8605	8.27	9381
28	782	8758	8.20	9540
29	685	8384	7.55	9069
30	753	8594	8.06	9347
31	679	7980	7.84	8659
32	704	8402	7.73	9106
33	626	8030	7.23	8656
34	661	8451	7.25	9112
35	560	7805	6.69	8365
36	583	8233	6.61	8816
37	565	7598	6.92	8163
38	519	8196	5.96	8715
39	503	7562	6.24	8065
40	540	8133	6.23	8673
41	496	7377	6.30	7873
42	509	7919	6.04	8428
43	484	7144	6.35	7628
44	499	7945	5.91	8444
45	462	6943	6.24	7405
46	482	7927	5.73	8409
47	430	6722	6.01	7152
48	417	7646	5.17	8063
49	399	6577	5.72	6976
50	432	7392	5.52	7824
51	423	6395	6.20	6818
52	413	7099	5.50	7512
53	398	6100	6.12	6498
54	422	6828	5.82	7250
55	387	5848	6.21	6235
56	427	6538	6.13	6965
57	341	5618	5.72	5959
58	416	6485	6.03	6901
59	327	5301	5.81	5628
60	360	6021	5.64	6381
61	336	4915	6.40	5251
62	352	5774	5.75	6126
63	334	4709	6.62	5043
64	357	5453	6.14	5810
65	305	4605	6.21	4910
66	333	5240	5.98	5573
67	286	4154	6.44	4440
68	331	4935	6.29	5266
69	273	3962	6.45	4235
70	289	4677	5.82	4966
71	305	3619	7.77	3924
72	327	4223	7.19	4550
73	301	3253	8.47	3554
74	280	3941	6.63	4221
75	253	3225	7.27	3478
76	289	3807	7.06	4096
77	260	2999	7.98	3259
78	269	3545	7.05	3814
79	255	2846	8.22	3101
80	276	3289	7.74	3565
81	254	2577	8.97	2831
82	252	3179	7.34	3431
83	233	2537	8.41	2770
84	239	2924	7.56	3163
85	208	2279	8.36	2487
86	256	2777	8.44	3033
87	238	2147	9.98	2385
88	239	2650	8.27	2889
89	212	2001	9.58	2213
90	201	2301	8.03	2502
91	197	1818	9.78	2015
92	212	2134	9.04	2346
93	220	1694	11.49	1914
94	213	2033	9.48	2246
95	210	1595	11.63	1805
96	197	1932	9.25	2129
97	200	1426	12.30	1626
98	200	1753	10.24	1953
99	200	1414	12.39	1614
100	211	1596	11.68	1807
101	181	1339	11.91	1520
102	221	1483	12.97	1704
103	206	1183	14.83	1389
104	202	1381	12.76	1583
105	161	1173	12.07	1334
106	198	1333	12.93	1531
107	165	1128	12.76	1293
108	188	1181	13.73	1369
109	188	1039	15.32	1227
110	162	1078	13.06	1240
111	155	1012	13.28	1167
112	193	1061	15.39	1254
113	157	964	14.01	1121
114	199	1049	15.95	1248
115	193	956	16.80	1149
116	183	1073	14.57	1256
117	165	881	15.77	1046
118	173	997	14.79	1170
119	162	947	14.61	1109
120	188	935	16.74	1123
121	185	916	16.80	1101
122	154	897	14.65	1051
123	201	823	19.63	1024
124	181	878	17.09	1059
125	169	962	14.94	1131
126	167	869	16.12	1036
127	163	885	15.55	1048
128	183	834	17.99	1017
129	183	810	18.43	993
130	170	830	17.00	1000
131	177	851	17.22	1028
132	190	879	17.77	1069
133	206	866	19.22	1072
134	180	856	17.37	1036
135	173	854	16.85	1027
136	223	843	20.92	1066
137	169	894	15.90	1063
138	192	877	17.96	1069
139	176	860	16.99	1036
140	197	841	18.98	1038
141	175	855	16.99	1030
142	177	872	16.87	1049
143	186	834	18.24	1020
144	169	845	16.67	1014
145	181	818	18.12	999
146	180	839	17.66	1019
147	189	820	18.73	1009
148	201	789	20.30	990
149	178	804	18.13	982
150	245	764	24.28	1009
151	191	723	20.90	914

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	311	8849	3.40	9160
2	647	5915	9.86	6562
3	926	7671	10.77	8597
4	473	6941	6.38	7414
5	285	9070	3.05	9355
6	218	9314	2.29	9532
7	150	7450	1.97	7600
8	125	6590	1.86	6715
9	121	6889	1.73	7010
10	91	6276	1.43	6367
11	131	6957	1.85	7088
12	89	5989	1.46	6078
13	86	6091	1.39	6177
14	73	6161	1.17	6234
15	88	6259	1.39	6347
16	96	6220	1.52	6316
17	83	6137	1.33	6220
18	72	5960	1.19	6032
19	74	5983	1.22	6057
20	80	5916	1.33	5996
21	67	5971	1.11	6038
22	94	5962	1.55	6056
23	96	5975	1.58	6071
24	87	5828	1.47	5915
25	90	5573	1.59	5663
26	94	5805	1.59	5899
27	92	5706	1.59	5798
28	79	5659	1.38	5738
29	90	5528	1.60	5618
30	84	5520	1.50	5604
31	104	5537	1.84	5641
32	92	5170	1.75	5262
33	79	5401	1.44	5480
34	89	5260	1.66	5349
35	99	5224	1.86	5323
36	85	4975	1.68	5060
37	107	4987	2.10	5094
38	76	4963	1.51	5039
39	104	5172	1.97	5276
40	91	4893	1.83	4984
41	96	4860	1.94	4956
42	101	4767	2.07	4868
43	109	4762	2.24	4871
44	87	4684	1.82	4771
45	128	4677	2.66	4805
46	106	4690	2.21	4796
47	114	4853	2.30	4967
48	104	4544	2.24	4648
49	139	4517	2.99	4656
50	94	4567	2.02	4661
51	107	4478	2.33	4585
52	100	4587	2.13	4687
53	126	4504	2.72	4630
54	98	4401	2.18	4499
55	115	4503	2.49	4618
56	86	4244	1.99	4330
57	109	4447	2.39	4556
58	104	4285	2.37	4389
59	117	4466	2.55	4583
60	107	4271	2.44	4378
61	114	4301	2.58	4415
62	92	4124	2.18	4216
63	111	4254	2.54	4365
64	103	4178	2.41	4281
65	81	4105	1.94	4186
66	70	4026	1.71	4096
