Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
B1S1-2_S64_L001_R1_001	B1S1-2_S64_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37582368.0	0.0	151.0	54.0	9.95712260782944	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
B1S1-2_S64_L001_R2_001	B1S1-2_S64_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37582368.0	0.0	151.0	54.0	24.188351736845988	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
B1S1-2_trimmed_R1	B1S1-2_trimmed_R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7942983.0	0.0	2-151	56.0	28.493616934775616	85.4841521126257	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
B1S1-2_trimmed_R2	B1S1-2_trimmed_R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7942983.0	0.0	2-151	52.0	41.80122667123046	46.88657623968224	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
B1S1-3_S65_L001_R1_001	B1S1-3_S65_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44866649.0	0.0	151.0	50.0	22.98051279086968	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
B1S1-3_S65_L001_R2_001	B1S1-3_S65_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44866649.0	0.0	151.0	49.0	35.911352575230005	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
B1S1-3_trimmed_R1	B1S1-3_trimmed_R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17766666.0	0.0	2-151	35.0	48.76989447264843	114.93840009149719	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
B1S1-3_trimmed_R2	B1S1-3_trimmed_R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17766666.0	0.0	2-151	31.0	53.586639160200356	100.67576145124808	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
B1S1-4_S66_L001_R1_001	B1S1-4_S66_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43017073.0	0.0	151.0	54.0	12.640094606797572	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
B1S1-4_S66_L001_R2_001	B1S1-4_S66_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43017073.0	0.0	151.0	52.0	31.143993165118772	151.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
B1S1-4_trimmed_R1	B1S1-4_trimmed_R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10724158.0	0.0	2-151	55.0	27.544270367575496	86.88983666596482	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	warn
B1S1-4_trimmed_R2	B1S1-4_trimmed_R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10724158.0	0.0	2-151	49.0	43.8197086740058	43.0467802693694	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
ML3_S61_L001_R1_001	ML3_S61_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44167079.0	0.0	151.0	41.0	69.92712386805411	151.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	fail
