Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
B1S1-2_S64_L001_R1_001	90.04287739217057	54.0	151.0	45.45454545454545	37582368.0
B1S1-2_S64_L001_R2_001	75.81164826315401	54.0	151.0	45.45454545454545	37582368.0
B1S1-2_trimmed_R1	71.50638306522438	56.0	85.4841521126257	36.36363636363637	7942983.0
B1S1-2_trimmed_R2	58.19877332876954	52.0	46.88657623968224	18.181818181818183	7942983.0
B1S1-3_S65_L001_R1_001	77.01948720913032	50.0	151.0	45.45454545454545	44866649.0
B1S1-3_S65_L001_R2_001	64.08864742476999	49.0	151.0	45.45454545454545	44866649.0
B1S1-3_trimmed_R1	51.23010552735157	35.0	114.93840009149719	27.27272727272727	17766666.0
B1S1-3_trimmed_R2	46.413360839799644	31.0	100.67576145124808	18.181818181818183	17766666.0
B1S1-4_S66_L001_R1_001	87.35990539320242	54.0	151.0	45.45454545454545	43017073.0
B1S1-4_S66_L001_R2_001	68.85600683488123	52.0	151.0	45.45454545454545	43017073.0
B1S1-4_trimmed_R1	72.45572963242451	55.0	86.88983666596482	36.36363636363637	10724158.0
B1S1-4_trimmed_R2	56.1802913259942	49.0	43.0467802693694	27.27272727272727	10724158.0
ML3_S61_L001_R1_001	30.07287613194589	41.0	151.0	36.36363636363637	44167079.0
ML3_S61_L001_R2_001	27.253922467665575	41.0	151.0	36.36363636363637	44167079.0
ML3_trimmed_R1	27.797309852049196	31.0	112.44157446005987	27.27272727272727	8520991.0
ML3_trimmed_R2	27.872874568568804	28.0	102.96008292932125	27.27272727272727	8520991.0
ML5_S62_L001_R1_001	34.229857422121825	37.0	151.0	36.36363636363637	43327326.0
ML5_S62_L001_R2_001	30.95950939706212	37.0	151.0	36.36363636363637	43327326.0
ML5_trimmed_R1	21.194237469205888	28.0	128.28514086161792	18.181818181818183	17627442.0
ML5_trimmed_R2	21.018355136970428	26.0	121.89407714403485	27.27272727272727	17627442.0
ML7_S63_L001_R1_001	84.14563564993502	52.0	151.0	45.45454545454545	41716662.0
ML7_S63_L001_R2_001	74.60689616503024	52.0	151.0	45.45454545454545	41716662.0
ML7_trimmed_R1	61.55496240462211	52.0	88.18333803150452	36.36363636363637	7233311.0
ML7_trimmed_R2	51.017128175196234	47.0	52.38289809466232	36.36363636363637	7233311.0
MVol2_S68_L001_R1_001	80.43036603781802	55.0	151.0	45.45454545454545	44777488.0
MVol2_S68_L001_R2_001	68.56876088479628	54.0	151.0	45.45454545454545	44777488.0
MVol2_trimmed_R1	60.71306380551189	56.0	80.16745791128743	36.36363636363637	8543502.0
MVol2_trimmed_R2	51.210901811245826	52.0	42.89232717450057	27.27272727272727	8543502.0
