Module	Section	Sample Name	Source
FastQC	all_sections	ML5_S62_L001_R2_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_lucifugus/ML5_S62_L001_R2_001_fastqc.zip
FastQC	all_sections	ML7_S63_L001_R1_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_lucifugus/ML7_S63_L001_R1_001_fastqc.zip
FastQC	all_sections	ML7_S63_L001_R2_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_lucifugus/ML7_S63_L001_R2_001_fastqc.zip
FastQC	all_sections	ML3_S61_L001_R1_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_lucifugus/ML3_S61_L001_R1_001_fastqc.zip
FastQC	all_sections	ML3_S61_L001_R2_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_lucifugus/ML3_S61_L001_R2_001_fastqc.zip
FastQC	all_sections	ML5_S62_L001_R1_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_lucifugus/ML5_S62_L001_R1_001_fastqc.zip
FastQC	all_sections	ML5_trimmed_R2	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_lucifugus/ML5_trimmed_R2_fastqc.zip
FastQC	all_sections	ML5_trimmed_R1	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_lucifugus/ML5_trimmed_R1_fastqc.zip
FastQC	all_sections	ML3_trimmed_R1	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_lucifugus/ML3_trimmed_R1_fastqc.zip
FastQC	all_sections	ML7_trimmed_R2	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_lucifugus/ML7_trimmed_R2_fastqc.zip
FastQC	all_sections	ML3_trimmed_R2	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_lucifugus/ML3_trimmed_R2_fastqc.zip
FastQC	all_sections	ML7_trimmed_R1	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_lucifugus/ML7_trimmed_R1_fastqc.zip
FastQC	all_sections	MVol2_trimmed_R2	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_volans/MVol2_trimmed_R2_fastqc.zip
FastQC	all_sections	MVol2_trimmed_R1	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_volans/MVol2_trimmed_R1_fastqc.zip
FastQC	all_sections	B1S1-2_trimmed_R1	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_evotis/B1S1-2_trimmed_R1_fastqc.zip
FastQC	all_sections	B1S1-3_trimmed_R1	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_evotis/B1S1-3_trimmed_R1_fastqc.zip
FastQC	all_sections	B1S1-2_trimmed_R2	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_evotis/B1S1-2_trimmed_R2_fastqc.zip
FastQC	all_sections	B1S1-3_trimmed_R2	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_evotis/B1S1-3_trimmed_R2_fastqc.zip
FastQC	all_sections	B1S1-4_trimmed_R1	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_californicus/B1S1-4_trimmed_R1_fastqc.zip
FastQC	all_sections	B1S1-4_trimmed_R2	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/trimmed/M_californicus/B1S1-4_trimmed_R2_fastqc.zip
FastQC	all_sections	MVol2_S68_L001_R1_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_volans/MVol2_S68_L001_R1_001_fastqc.zip
FastQC	all_sections	MVol2_S68_L001_R2_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_volans/MVol2_S68_L001_R2_001_fastqc.zip
FastQC	all_sections	B1S1-2_S64_L001_R2_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_evotis/B1S1-2_S64_L001_R2_001_fastqc.zip
FastQC	all_sections	B1S1-3_S65_L001_R1_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_evotis/B1S1-3_S65_L001_R1_001_fastqc.zip
FastQC	all_sections	B1S1-2_S64_L001_R1_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_evotis/B1S1-2_S64_L001_R1_001_fastqc.zip
FastQC	all_sections	B1S1-3_S65_L001_R2_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_evotis/B1S1-3_S65_L001_R2_001_fastqc.zip
FastQC	all_sections	B1S1-4_S66_L001_R2_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_californicus/B1S1-4_S66_L001_R2_001_fastqc.zip
FastQC	all_sections	B1S1-4_S66_L001_R1_001	/global/scratch2/mvazquez/projects/methylationAging/output/qc/fastqc/M_californicus/B1S1-4_S66_L001_R1_001_fastqc.zip
